indexInTrack,name,startSeconds,endSeconds,durationSeconds,mediaPath,textContent
0,Graphic,40.3333333333333,48.9666666666667,8.63333333333333,,Amber Portwood tiktok
1,Graphic,48.9666666666667,81.5333333333333,32.5666666666667,,Amber Portwood
2,Graphic,81.5333333333333,88.4666666666667,6.93333333333334,,Teen Mom
3,Graphic,95.9666666666667,152.733333333333,56.7666666666667,,Amber Portwood
4,Graphic,162.5,213.033333333333,50.5333333333333,,Amber Portwood
5,Graphic,213.033333333333,245.033333333333,32,,Teen Mom
6,Graphic,245.033333333333,267.2,22.1666666666667,,Amber Portwood
7,Graphic,267.2,297.366666666667,30.1666666666667,,Amber Portwood tiktok
8,Graphic,297.366666666667,310.1,12.7333333333333,,Teen Mom
9,Graphic,315.1,320.2,5.09999999999997,,Teen Mom
10,Graphic,320.2,329.233333333333,9.03333333333336,,Amber Portwood
11,Graphic,329.233333333333,353.766666666667,24.5333333333333,,Amber Portwood tiktok
12,Graphic,353.766666666667,404.233333333333,50.4666666666667,,Amber Portwood
13,Graphic,409.966666666667,444.266666666667,34.3,,Amber Portwood
14,Graphic,444.266666666667,455.3,11.0333333333334,,Teen Mom
15,Graphic,455.3,529.133333333333,73.8333333333333,,Amber Portwood
16,Graphic,529.133333333333,556.833333333333,27.7,,Teen Mom
17,Graphic,574.433333333333,585.6,11.1666666666667,,Teen Mom
18,Graphic,607.833333333333,628.566666666667,20.7333333333333,,Teen Mom
19,Graphic,639.966666666667,655.566666666667,15.6,,Amber Portwood
20,Graphic,705.233333333333,713,7.76666666666665,,Amber Portwood
21,Graphic,718,745.666666666667,27.6666666666666,,Amber Portwood child Leah
22,Graphic,745.666666666667,753.833333333333,8.16666666666674,,Amber Portwood
23,Graphic,753.833333333333,765.733333333333,11.9,,Amber Portwood child Leah
24,Graphic,825.066666666667,844.433333333333,19.3666666666666,,Amber Portwood
25,Graphic,844.433333333333,899.166666666667,54.7333333333333,,Amber Portwood tiktok
26,Graphic,899.166666666667,924.566666666667,25.4000000000001,,Amber Portwood
27,Graphic,924.566666666667,934.1,9.5333333333333,,Amber Portwood child Leah
28,Graphic,939.1,1033.06666666667,93.9666666666666,,Amber Portwood
29,Graphic,1033.06666666667,1043.4,10.3333333333335,,Amber Portwood tiktok
30,Graphic,1043.4,1081.26666666667,37.8666666666666,,Amber Portwood
31,Graphic,1081.26666666667,1091.53333333333,10.2666666666667,,Teen Mom
32,Graphic,1091.53333333333,1112.3,20.7666666666667,,Amber Portwood
33,Graphic,1112.3,1125.06666666667,12.7666666666667,,Teen Mom
34,Graphic,1125.06666666667,1208.36666666667,83.3,,Amber Portwood
35,Graphic,1208.36666666667,1214.7,6.33333333333348,,Amber Portwood tiktok
36,Graphic,1214.7,1224.63333333333,9.93333333333339,,Amber Portwood child Leah
37,Graphic,1224.76666666667,1357.2,132.433333333333,,Amber Portwood
